# This is an exemplary isentrope for an opx mantle composition, exported
# from HeFESTo, for a surface adiabatic temperature of 1600 K. Temperature
# column contains entropy for this table.
#
# POINTS: 1401
# depth (m), pressure (Pa), entropy (J/kg/K), density (kg/m^3)
depth             pressure          temperature       density
472951 1.61e+10 2534.05 3722.67
475575 16200000000 2534.05 3724.57
478198 16300000000 2534.05 3726.48
480821 1.64e+10 2534.05 3728.38
483444 16500000000 2534.05 3730.28
486068 1.66e+10 2534.05 3732.17
488691 16700000000 2534.05 3734.06
491314 16800000000 2534.05 3735.95
493938 1.69e+10 2534.05 3737.84
496561 17000000000 2534.05 3739.72
499184 1.71e+10 2534.05 3741.6
501777 17200000000 2534.05 3743.48
504355 17300000000 2534.05 3745.35
506933 1.74e+10 2534.05 3747.23
509512 17500000000 2534.05 3749.1
512090 17600000000 2534.05 3750.96
514668 17700000000 2534.05 3752.83
517247 17800000000 2534.05 3754.69
519825 1.79e+10 2534.05 3756.55
522404 18000000000 2534.05 3758.4
524982 18100000000 2534.05 3760.25
527560 18200000000 2534.05 3762.1
530139 18300000000 2534.05 3763.95
532717 1.84e+10 2534.05 3765.8
535296 18500000000 2534.05 3767.64
537874 18600000000 2534.05 3769.48
540452 18700000000 2534.05 3771.31
543031 18800000000 2534.05 3773.15
545609 1.89e+10 2534.05 3774.98
548187 19000000000 2534.05 3776.81
550753 19100000000 2534.05 3778.63
553288 1.92e+10 2534.05 3780.46
555823 19300000000 2534.05 3782.28
558359 1.94e+10 2534.05 3784.1
560894 19500000000 2534.05 3785.91
563429 19600000000 2534.05 3787.73
565964 1.97e+10 2534.05 3789.54
568500 19800000000 2534.05 3791.34
571035 1.99e+10 2534.05 3793.15
573570 20000000000 2534.05 3794.95
576105 20100000000 2534.05 3796.75
578641 2.02e+10 2534.05 3798.55
581176 20300000000 2534.05 3800.35
583711 2.04e+10 2534.05 3802.14
586246 20500000000 2534.05 3803.93
588782 20600000000 2534.05 3805.72
591317 2.07e+10 2534.05 3807.5
593852 20800000000 2534.05 3809.29
596387 2.09e+10 2534.05 3811.07
598923 21000000000 2534.05 3812.85
601444 21100000000 2534.05 3814.62
603955 2.12e+10 2534.05 3816.4
606466 21300000000 2534.05 3818.17
608977 2.14e+10 2534.05 3819.94
611488 21500000000 2534.05 3821.7
613999 21600000000 2534.05 3823.47
616509 2.17e+10 2534.05 3825.23
619020 21800000000 2534.05 3826.99
621531 2.19e+10 2534.05 3828.74
624042 22000000000 2534.05 3830.5
626553 22100000000 2534.05 3832.25
629064 2.22e+10 2534.05 3834
631575 22300000000 2534.05 3835.75
634086 2.24e+10 2534.05 3837.49
636593 22500000000 2534.05 3839.24
639099 22600000000 2534.05 3840.98
641604 2.27e+10 2534.05 3842.72
644110 22800000000 2534.05 3844.45
646615 2.29e+10 2534.05 3846.19
649120 23000000000 2534.05 3847.92
651626 23100000000 2534.05 3849.65
654131 2.32e+10 2534.05 3851.37
656636 23300000000 2534.05 3853.1
659142 2.34e+10 2534.05 3854.82
661647 23500000000 2534.05 3860.7
664152 23600000000 2534.05 3874.25
666658 2.37e+10 2534.05 3887.91
669163 23800000000 2534.05 3901.67
671513 2.39e+10 2534.05 3915.54
673785 24000000000 2534.05 3929.53
676057 24100000000 2534.05 3943.63
678328 2.42e+10 2534.05 3957.85
680600 24300000000 2534.05 3972.19
682872 2.44e+10 2534.05 3986.65
685144 24500000000 2534.05 4001.23
687416 24600000000 2534.05 4007.32
689688 2.47e+10 2534.05 4008.97
691959 24800000000 2534.05 4010.62
694231 2.49e+10 2534.05 4012.26
696503 25000000000 2534.05 4013.9
698775 25100000000 2534.05 4015.54
701047 2.52e+10 2534.05 4017.18
703318 25300000000 2534.05 4018.82
705590 2.54e+10 2534.05 4020.45
707862 25500000000 2534.05 4022.09
710134 25600000000 2534.05 4023.72
712406 2.57e+10 2534.05 4025.35
714678 25800000000 2534.05 4026.98
716949 2.59e+10 2534.05 4028.61
719221 26000000000 2534.05 4030.23
721490 26100000000 2534.05 4031.85
723748 2.62e+10 2534.05 4033.48
726006 26300000000 2534.05 4035.1
728264 2.64e+10 2534.05 4036.72
730522 26500000000 2534.05 4038.33
732780 26600000000 2534.05 4039.95
735038 2.67e+10 2534.05 4041.56
737296 26800000000 2534.05 4043.17
739554 2.69e+10 2534.05 4044.78
741812 27000000000 2534.05 4046.39
744069 27100000000 2534.05 4048
746327 2.72e+10 2534.05 4049.6
748585 27300000000 2534.05 4051.21
750843 2.74e+10 2534.05 4052.81
753101 27500000000 2534.05 4054.41
755359 27600000000 2534.05 4056.01
757617 2.77e+10 2534.05 4057.6
759875 27800000000 2534.05 4059.2
762133 2.79e+10 2534.05 4060.79
764391 28000000000 2534.05 4062.39
766649 28100000000 2534.05 4063.98
768907 2.82e+10 2534.05 4065.57
771163 28300000000 2534.05 4067.15
773401 2.84e+10 2534.05 4068.74
775638 28500000000 2534.05 4070.32
777875 28600000000 2534.05 4071.91
780113 2.87e+10 2534.05 4073.49
782350 28800000000 2534.05 4075.07
784587 2.89e+10 2534.05 4076.64
786825 29000000000 2534.05 4078.22
789062 29100000000 2534.05 4079.8
791299 2.92e+10 2534.05 4081.37
793537 29300000000 2534.05 4082.94
795774 2.94e+10 2534.05 4084.51
798011 29500000000 2534.05 4086.08
800249 29600000000 2534.05 4087.65
802486 2.97e+10 2534.05 4089.21
804723 29800000000 2534.05 4090.78
806961 2.99e+10 2534.05 4092.34
809198 30000000000 2534.05 4093.9
811435 30100000000 2534.05 4095.46
813673 3.02e+10 2534.05 4097.02
815910 30300000000 2534.05 4098.57
818147 3.04e+10 2534.05 4100.13
820385 30500000000 2534.05 4101.68
822622 30600000000 2534.05 4103.23
824859 3.07e+10 2534.05 4104.78
827097 30800000000 2534.05 4106.33
829334 3.09e+10 2534.05 4107.88
831571 31000000000 2534.05 4109.43
833809 31100000000 2534.05 4110.97
836046 3.12e+10 2534.05 4112.51
838283 31300000000 2534.05 4114.06
840521 3.14e+10 2534.05 4115.6
842758 31500000000 2534.05 4117.13
844995 31600000000 2534.05 4118.67
847233 3.17e+10 2534.05 4120.21
849470 31800000000 2534.05 4121.74
851707 3.19e+10 2534.05 4123.27
853945 32000000000 2534.05 4124.81
856182 32100000000 2534.05 4126.34
858419 3.22e+10 2534.05 4127.86
860657 3.23e+10 2534.05 4129.39
862894 32400000000 2534.05 4130.92
865131 32500000000 2534.05 4132.44
867369 32600000000 2534.05 4133.96
869606 3.27e+10 2534.05 4135.49
871834 3.28e+10 2534.05 4137.01
874045 32900000000 2534.05 4138.52
876256 33000000000 2534.05 4140.04
878466 33100000000 2534.05 4141.56
880677 3.32e+10 2534.05 4143.07
882888 3.33e+10 2534.05 4144.59
885099 33400000000 2534.05 4146.1
887310 33500000000 2534.05 4147.61
889521 33600000000 2534.05 4149.12
891732 3.37e+10 2534.05 4150.62
893943 3.38e+10 2534.05 4152.13
896154 33900000000 2534.05 4153.63
898365 34000000000 2534.05 4155.14
900576 34100000000 2534.05 4156.64
902787 3.42e+10 2534.05 4158.14
904998 3.43e+10 2534.05 4159.64
907209 34400000000 2534.05 4161.14
909420 34500000000 2534.05 4162.64
911631 34600000000 2534.05 4164.13
913842 34700000000 2534.05 4165.62
916053 3.48e+10 2534.05 4167.12
918264 34900000000 2534.05 4168.61
920475 35000000000 2534.05 4170.1
922686 35100000000 2534.05 4171.59
924897 35200000000 2534.05 4173.07
927108 3.53e+10 2534.05 4174.56
929319 35400000000 2534.05 4176.05
931530 35500000000 2534.05 4177.53
933741 35600000000 2534.05 4179.01
935952 35700000000 2534.05 4180.49
938163 3.58e+10 2534.05 4181.97
940374 35900000000 2534.05 4183.45
942585 36000000000 2534.05 4184.93
944796 36100000000 2534.05 4186.4
947007 36200000000 2534.05 4187.88
949218 3.63e+10 2534.05 4189.35
951429 36400000000 2534.05 4190.82
953639 36500000000 2534.05 4192.29
955850 36600000000 2534.05 4193.76
958061 36700000000 2534.05 4195.23
960272 3.68e+10 2534.05 4196.69
962483 36900000000 2534.05 4198.16
964694 37000000000 2534.05 4199.62
966905 37100000000 2534.05 4201.09
969116 37200000000 2534.05 4202.55
971324 3.73e+10 2534.05 4204.01
973509 37400000000 2534.05 4205.47
975695 37500000000 2534.05 4206.93
977880 37600000000 2534.05 4208.38
980066 37700000000 2534.05 4209.84
